env_local_scale,pathway_name,pathway_id,expr_sum
mineral horizon [ENVO:03600011],Flavone and flavonol biosynthesis [PATH:ko00944],map00944,93.0909090909091
mineral horizon [ENVO:03600011],Flavonoid biosynthesis [PATH:ko00941],map00941,200.0909090909091
mineral horizon [ENVO:03600011],Fluid shear stress and atherosclerosis [PATH:ko05418],map05418,42235.63636363636
mineral horizon [ENVO:03600011],Fluorobenzoate degradation [PATH:ko00364],map00364,14880.90909090909
mineral horizon [ENVO:03600011],Focal adhesion [PATH:ko04510],map04510,4922.909090909091
mineral horizon [ENVO:03600011],Folate biosynthesis [PATH:ko00790],map00790,21697.272727272728
mineral horizon [ENVO:03600011],Folate transport and metabolism [PATH:ko04981],map04981,9599.545454545454
mineral horizon [ENVO:03600011],FoxO signaling pathway [PATH:ko04068],map04068,19718.454545454544
mineral horizon [ENVO:03600011],Fructose and mannose metabolism [PATH:ko00051],map00051,34458.27272727273
mineral horizon [ENVO:03600011],Function unknown,map99997,160322.27272727274
mineral horizon [ENVO:03600011],Furfural degradation [PATH:ko00365],map00365,522.1818181818181
mineral horizon [ENVO:03600011],G protein-coupled receptors [BR:ko04030],map04030,263.54545454545456
mineral horizon [ENVO:03600011],GABAergic synapse [PATH:ko04727],map04727,21539.0
mineral horizon [ENVO:03600011],GTP-binding proteins [BR:ko04031],map04031,5516.454545454545
mineral horizon [ENVO:03600011],Galactose metabolism [PATH:ko00052],map00052,19630.636363636364
mineral horizon [ENVO:03600011],Gap junction [PATH:ko04540],map04540,6753.818181818182
mineral horizon [ENVO:03600011],Gastric acid secretion [PATH:ko04971],map04971,2631.090909090909
mineral horizon [ENVO:03600011],Gastric cancer [PATH:ko05226],map05226,2235.6363636363635
mineral horizon [ENVO:03600011],General function prediction only,map99996,74085.54545454546
mineral horizon [ENVO:03600011],Glioma [PATH:ko05214],map05214,2036.2727272727273
mineral horizon [ENVO:03600011],Glucagon signaling pathway [PATH:ko04922],map04922,13570.363636363636
mineral horizon [ENVO:03600011],Glucosinolate biosynthesis [PATH:ko00966],map00966,9421.90909090909
mineral horizon [ENVO:03600011],Glutamatergic synapse [PATH:ko04724],map04724,21466.0
mineral horizon [ENVO:03600011],Glutathione metabolism [PATH:ko00480],map00480,41374.90909090909
mineral horizon [ENVO:03600011],Glycan metabolism,map99986,1781.6363636363637
mineral horizon [ENVO:03600011],Glycerolipid metabolism [PATH:ko00561],map00561,23284.090909090908
mineral horizon [ENVO:03600011],Glycerophospholipid metabolism [PATH:ko00564],map00564,17677.545454545456
mineral horizon [ENVO:03600011],"Glycine, serine and threonine metabolism [PATH:ko00260]",map00260,57253.27272727273
mineral horizon [ENVO:03600011],Glycolysis / Gluconeogenesis [PATH:ko00010],map00010,128878.36363636363
mineral horizon [ENVO:03600011],Glycosaminoglycan binding proteins [BR:ko00536],map00536,1771.1818181818182
mineral horizon [ENVO:03600011],Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532],map00532,5.75
mineral horizon [ENVO:03600011],Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534],map00534,18.545454545454547
mineral horizon [ENVO:03600011],Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533],map00533,3.8333333333333335
mineral horizon [ENVO:03600011],Glycosaminoglycan degradation [PATH:ko00531],map00531,2033.6363636363637
mineral horizon [ENVO:03600011],Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604],map00604,747.8181818181819
mineral horizon [ENVO:03600011],Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603],map00603,2402.7272727272725
mineral horizon [ENVO:03600011],Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601],map00601,3.6
mineral horizon [ENVO:03600011],Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563],map00563,263.45454545454544
mineral horizon [ENVO:03600011],Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537],map00537,3456.4545454545455
mineral horizon [ENVO:03600011],Glycosyltransferases [BR:ko01003],map01003,33248.36363636364
mineral horizon [ENVO:03600011],Glyoxylate and dicarboxylate metabolism [PATH:ko00630],map00630,143901.9090909091
mineral horizon [ENVO:03600011],GnRH secretion [PATH:ko04929],map04929,884.8181818181819
mineral horizon [ENVO:03600011],GnRH signaling pathway [PATH:ko04912],map04912,2009.1818181818182
mineral horizon [ENVO:03600011],"Growth hormone synthesis, secretion and action [PATH:ko04935]",map04935,1893.7272727272727
mineral horizon [ENVO:03600011],HIF-1 signaling pathway [PATH:ko04066],map04066,15106.363636363636
mineral horizon [ENVO:03600011],Hedgehog signaling pathway - fly [PATH:ko04341],map04341,1021.9090909090909
mineral horizon [ENVO:03600011],Hedgehog signaling pathway [PATH:ko04340],map04340,533.7272727272727
mineral horizon [ENVO:03600011],Hematopoietic cell lineage [PATH:ko04640],map04640,31.4
mineral horizon [ENVO:03600011],Hepatitis B [PATH:ko05161],map05161,4830.909090909091
mineral horizon [ENVO:03600011],Hepatitis C [PATH:ko05160],map05160,5953.727272727273
mineral horizon [ENVO:03600011],Hepatocellular carcinoma [PATH:ko05225],map05225,11171.818181818182
mineral horizon [ENVO:03600011],Herpes simplex virus 1 infection [PATH:ko05168],map05168,4742.454545454545
mineral horizon [ENVO:03600011],Hippo signaling pathway - fly [PATH:ko04391],map04391,2481.181818181818
mineral horizon [ENVO:03600011],Hippo signaling pathway - multiple species [PATH:ko04392],map04392,402.90909090909093
mineral horizon [ENVO:03600011],Hippo signaling pathway [PATH:ko04390],map04390,2864.6363636363635
mineral horizon [ENVO:03600011],Histidine metabolism [PATH:ko00340],map00340,29400.272727272728
mineral horizon [ENVO:03600011],Homologous recombination [PATH:ko03440],map03440,27053.636363636364
mineral horizon [ENVO:03600011],Hormone signaling [PATH:ko04081],map04081,1102.6363636363637
mineral horizon [ENVO:03600011],Human T-cell leukemia virus 1 infection [PATH:ko05166],map05166,4125.363636363636
mineral horizon [ENVO:03600011],Human cytomegalovirus infection [PATH:ko05163],map05163,8383.90909090909
mineral horizon [ENVO:03600011],Human immunodeficiency virus 1 infection [PATH:ko05170],map05170,8957.181818181818
mineral horizon [ENVO:03600011],Human papillomavirus infection [PATH:ko05165],map05165,5346.181818181818
mineral horizon [ENVO:03600011],Huntington disease [PATH:ko05016],map05016,57655.63636363636
mineral horizon [ENVO:03600011],Hypertrophic cardiomyopathy [PATH:ko05410],map05410,2322.6363636363635
mineral horizon [ENVO:03600011],IL-17 signaling pathway [PATH:ko04657],map04657,3516.818181818182
mineral horizon [ENVO:03600011],Indole alkaloid biosynthesis [PATH:ko00901],map00901,275.3636363636364
mineral horizon [ENVO:03600011],Indole diterpene alkaloid biosynthesis [PATH:ko00403],map00403,2.0
mineral horizon [ENVO:03600011],Inflammatory bowel disease [PATH:ko05321],map05321,12.8
mineral horizon [ENVO:03600011],Inflammatory mediator regulation of TRP channels [PATH:ko04750],map04750,772.2727272727273
mineral horizon [ENVO:03600011],Influenza A [PATH:ko05164],map05164,7031.181818181818
mineral horizon [ENVO:03600011],Inositol phosphate metabolism [PATH:ko00562],map00562,22806.454545454544
mineral horizon [ENVO:03600011],Insect hormone biosynthesis [PATH:ko00981],map00981,7174.636363636364
mineral horizon [ENVO:03600011],Insulin resistance [PATH:ko04931],map04931,12867.363636363636
mineral horizon [ENVO:03600011],Insulin secretion [PATH:ko04911],map04911,806.9090909090909
mineral horizon [ENVO:03600011],Insulin signaling pathway [PATH:ko04910],map04910,13106.09090909091
mineral horizon [ENVO:03600011],Ion channels [BR:ko04040],map04040,431.72727272727275
mineral horizon [ENVO:03600011],Isoflavonoid biosynthesis [PATH:ko00943],map00943,116.27272727272727
