pathway_id,pathway_name,p_value,n_samples,q_value
map04925,Aldosterone synthesis and secretion [PATH:ko04925],0.4607708905522918,24,0.9995755609561814
map04725,Cholinergic synapse [PATH:ko04725],0.4607708905522918,24,1.0
map04915,Estrogen signaling pathway [PATH:ko04915],0.4607708905522918,24,1.0
map04727,GABAergic synapse [PATH:ko04727],0.4607708905522918,24,1.0
map04728,Dopaminergic synapse [PATH:ko04728],0.4607708905522918,24,1.0
map04742,Taste transduction [PATH:ko04742],0.4607708905522918,24,1.0
map04712,Circadian rhythm - plant [PATH:ko04712],0.4607708905522918,24,1.0
map04914,Progesterone-mediated oocyte maturation [PATH:ko04914],0.4607708905522918,24,1.0
map04814,Motor proteins [PATH:ko04814],0.4607708905522918,24,1.0
map04745,Phototransduction - fly [PATH:ko04745],0.4607708905522918,24,1.0
map04750,Inflammatory mediator regulation of TRP channels [PATH:ko04750],0.4607708905522918,24,1.0
map04810,Regulation of actin cytoskeleton [PATH:ko04810],0.4607708905522918,24,1.0
map04812,Cytoskeleton proteins [BR:ko04812],0.4607708905522918,24,1.0
map04820,Cytoskeleton in muscle cells [PATH:ko04820],0.4607708905522918,24,1.0
map04919,Thyroid hormone signaling pathway [PATH:ko04919],0.4607708905522918,24,1.0
map04911,Insulin secretion [PATH:ko04911],0.4607708905522918,24,1.0
map04714,Thermogenesis [PATH:ko04714],0.4607708905522918,24,1.0
map04724,Glutamatergic synapse [PATH:ko04724],0.4607708905522918,24,1.0
map04912,GnRH signaling pathway [PATH:ko04912],0.4607708905522918,24,1.0
