biosample_id,taxon,expr_sum
nmdc:bsm-11-3p2mnz08,Spirochaetota,17956
nmdc:bsm-11-3p2mnz08,Streptophyta,25531
nmdc:bsm-11-3p2mnz08,Synergistota,1621
nmdc:bsm-11-3p2mnz08,Thermodesulfobacteriota,75145
nmdc:bsm-11-3p2mnz08,Thermomicrobiota,8201
nmdc:bsm-11-3p2mnz08,Thermoproteota,1073
nmdc:bsm-11-3p2mnz08,Thermotogota,2365
nmdc:bsm-11-3p2mnz08,Uroviricota,1311
nmdc:bsm-11-3p2mnz08,Verrucomicrobiota,270854
nmdc:bsm-11-3p2mnz08,Zoopagomycota,5133
nmdc:bsm-11-3p2mnz08,candidate division NC10,4332
nmdc:bsm-11-3p2mnz08,candidate division Zixibacteria,1146
nmdc:bsm-11-3p2mnz08,"dsDNA viruses, no RNA stage",1655
nmdc:bsm-11-3p2mnz08,dsRNA viruses,8395
nmdc:bsm-11-3p2mnz08,ssDNA viruses,1088
nmdc:bsm-11-3p2mnz08,ssRNA (+) viruses,131546
nmdc:bsm-11-3p2mnz08,ssRNA viruses,19944
nmdc:bsm-11-3p2mnz08,unclassified Bacteria,7337
nmdc:bsm-11-3p2mnz08,unclassified Eukaryota,16090
nmdc:bsm-11-3p2mnz08,unclassified Viruses,22196
nmdc:bsm-11-3p2mnz08,unclassified phages,27
nmdc:bsm-11-3p2mnz08,unclassified viruses,3857
nmdc:bsm-11-622k6044,Acidobacteriota,6510834
nmdc:bsm-11-622k6044,Actinomycetota,2051456
nmdc:bsm-11-622k6044,Annelida,24623
nmdc:bsm-11-622k6044,Apicomplexa,14713
nmdc:bsm-11-622k6044,Aquificota,10630
nmdc:bsm-11-622k6044,Armatimonadota,53565
nmdc:bsm-11-622k6044,Arthropoda,25742
nmdc:bsm-11-622k6044,Ascomycota,120940
nmdc:bsm-11-622k6044,Atribacterota,1444
nmdc:bsm-11-622k6044,Bacillariophyta,1935
nmdc:bsm-11-622k6044,Bacillota,475558
nmdc:bsm-11-622k6044,Bacteroidota,281460
nmdc:bsm-11-622k6044,Balneolota,6945
nmdc:bsm-11-622k6044,Basidiomycota,736559
nmdc:bsm-11-622k6044,Bdellovibrionota,13317
nmdc:bsm-11-622k6044,Blastocladiomycota,1551
nmdc:bsm-11-622k6044,Caldisericota,397
nmdc:bsm-11-622k6044,Calditrichota,1259
nmdc:bsm-11-622k6044,Campylobacterota,15362
nmdc:bsm-11-622k6044,Candidatus Absconditabacteria,0
nmdc:bsm-11-622k6044,Candidatus Aerophobetes,1406
nmdc:bsm-11-622k6044,Candidatus Aminicenantes,6046
nmdc:bsm-11-622k6044,Candidatus Bathyarchaeota,963
nmdc:bsm-11-622k6044,Candidatus Berkelbacteria,83
nmdc:bsm-11-622k6044,Candidatus Bipolaricaulota,337
nmdc:bsm-11-622k6044,Candidatus Calescamantes,892
nmdc:bsm-11-622k6044,Candidatus Cloacimonadota,546
nmdc:bsm-11-622k6044,Candidatus Cryosericota,416
nmdc:bsm-11-622k6044,Candidatus Diapherotrites,145
nmdc:bsm-11-622k6044,Candidatus Fervidibacteria,3002
nmdc:bsm-11-622k6044,Candidatus Gracilibacteria,81
nmdc:bsm-11-622k6044,Candidatus Hydrogenedentes,750
nmdc:bsm-11-622k6044,Candidatus Hydrothermae,3
nmdc:bsm-11-622k6044,Candidatus Korarchaeota,446
nmdc:bsm-11-622k6044,Candidatus Latescibacteria,1634
nmdc:bsm-11-622k6044,Candidatus Lokiarchaeota,39
nmdc:bsm-11-622k6044,Candidatus Marinimicrobia,1430
nmdc:bsm-11-622k6044,Candidatus Melainabacteria,1101
nmdc:bsm-11-622k6044,Candidatus Micrarchaeota,127
nmdc:bsm-11-622k6044,Candidatus Microgenomates,1336
nmdc:bsm-11-622k6044,Candidatus Nanohaloarchaeota,8
nmdc:bsm-11-622k6044,Candidatus Omnitrophota,5209
nmdc:bsm-11-622k6044,Candidatus Parcubacteria,1275
nmdc:bsm-11-622k6044,Candidatus Poribacteria,6315
nmdc:bsm-11-622k6044,Candidatus Saccharibacteria,1200
nmdc:bsm-11-622k6044,Candidatus Sumerlaeota,1665
nmdc:bsm-11-622k6044,Candidatus Thermoplasmatota,4256
nmdc:bsm-11-622k6044,Cercozoa,2
nmdc:bsm-11-622k6044,Chlamydiota,6243
nmdc:bsm-11-622k6044,Chlorobiota,3813
nmdc:bsm-11-622k6044,Chloroflexota,228930
nmdc:bsm-11-622k6044,Chlorophyta,24854
nmdc:bsm-11-622k6044,Chordata,19467
nmdc:bsm-11-622k6044,Chrysiogenota,1265
nmdc:bsm-11-622k6044,Chytridiomycota,8414
nmdc:bsm-11-622k6044,Ciliophora,11131
nmdc:bsm-11-622k6044,Cnidaria,6065
nmdc:bsm-11-622k6044,Coprothermobacterota,331
nmdc:bsm-11-622k6044,Cyanobacteriota,156052
nmdc:bsm-11-622k6044,Deferribacterota,2134
nmdc:bsm-11-622k6044,Deinococcota,52728
nmdc:bsm-11-622k6044,Dictyoglomota,746
nmdc:bsm-11-622k6044,Duplornaviricota,128
nmdc:bsm-11-622k6044,Elusimicrobiota,3130
nmdc:bsm-11-622k6044,Euglenozoa,2221
nmdc:bsm-11-622k6044,Euryarchaeota,47855
nmdc:bsm-11-622k6044,Evosea,52161
nmdc:bsm-11-622k6044,Fibrobacterota,1003
nmdc:bsm-11-622k6044,Fornicata,55
nmdc:bsm-11-622k6044,Fusobacteriota,882
nmdc:bsm-11-622k6044,Gemmatimonadota,78856
nmdc:bsm-11-622k6044,Haptophyta,3646
nmdc:bsm-11-622k6044,Heterolobosea,3489
nmdc:bsm-11-622k6044,Ignavibacteriota,5841
nmdc:bsm-11-622k6044,Kiritimatiellota,2951
nmdc:bsm-11-622k6044,Kitrinoviricota,1592
nmdc:bsm-11-622k6044,Lenarviricota,14478
nmdc:bsm-11-622k6044,Lentisphaerota,1220
nmdc:bsm-11-622k6044,Microsporidia,123
nmdc:bsm-11-622k6044,Mollusca,6016
nmdc:bsm-11-622k6044,Mucoromycota,31195
nmdc:bsm-11-622k6044,Mycoplasmatota,832
nmdc:bsm-11-622k6044,Myxococcota,300778
nmdc:bsm-11-622k6044,Negarnaviricota,1184
nmdc:bsm-11-622k6044,Nematoda,6888
nmdc:bsm-11-622k6044,Nitrososphaerota,21010
nmdc:bsm-11-622k6044,Nitrospinota,3816
nmdc:bsm-11-622k6044,Nitrospirota,65875
nmdc:bsm-11-622k6044,Nucleocytoviricota,141
nmdc:bsm-11-622k6044,Oomycota,5666
nmdc:bsm-11-622k6044,Parabasalia,674
