biosample_id,rank,n_metag_taxa,n_metat_taxa,n_shared_taxa,n_metag_only,n_metat_only,jaccard
nmdc:bsm-11-xtz7he28,kingdom,4,4,4,0,0,1
nmdc:bsm-11-xtz7he28,phylum,115,121,110,5,11,0.873015873015873
nmdc:bsm-11-xtz7he28,class,268,283,264,4,19,0.9198606271777003
nmdc:bsm-11-xtz7he28,order,517,530,505,12,25,0.9317343173431735
nmdc:bsm-11-xtz7he28,family,1149,1165,1116,33,49,0.9315525876460768
nmdc:bsm-11-xtz7he28,genus,4689,4345,4214,475,131,0.8742738589211618
nmdc:bsm-11-xtz7he28,species,28218,23765,22865,5353,900,0.7852531080431349
nmdc:bsm-11-xxvfda22,kingdom,4,4,4,0,0,1
nmdc:bsm-11-xxvfda22,phylum,116,119,111,5,8,0.8951612903225806
nmdc:bsm-11-xxvfda22,class,270,277,260,10,17,0.9059233449477352
nmdc:bsm-11-xxvfda22,order,520,518,498,22,20,0.9222222222222223
nmdc:bsm-11-xxvfda22,family,1153,1129,1096,57,33,0.924114671163575
nmdc:bsm-11-xxvfda22,genus,4707,4039,3977,730,62,0.8339274481023276
nmdc:bsm-11-xxvfda22,species,28815,20104,19731,9084,373,0.6759969850623544
