soil_horizon,biosample_id,url
M horizon,nmdc:bsm-11-0mmva916,https://data.microbiomedata.org/data/nmdc:omprc-11-c43r0x68/nmdc:wfmgan-11-4atn4567.1/nmdc_wfmgan-11-4atn4567.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0n9kgt73,https://data.microbiomedata.org/data/nmdc:omprc-11-bp805y18/nmdc:wfmgan-11-k4fap225.1/nmdc_wfmgan-11-k4fap225.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0nas9n36,https://data.microbiomedata.org/data/nmdc:omprc-11-tq14qf97/nmdc:wfmgan-11-ecsk2g35.1/nmdc_wfmgan-11-ecsk2g35.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0nbmnc66,https://data.microbiomedata.org/data/nmdc:omprc-11-5kn2zh91/nmdc:wfmgan-11-bewmab04.1/nmdc_wfmgan-11-bewmab04.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0nd36621,https://data.microbiomedata.org/data/nmdc:omprc-11-5yawgk13/nmdc:wfmgan-11-p19b7z91.1/nmdc_wfmgan-11-p19b7z91.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0nk4at30,https://data.microbiomedata.org/data/nmdc:omprc-11-1j92pc25/nmdc:wfmgan-11-tm94dj79.1/nmdc_wfmgan-11-tm94dj79.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0nqehw82,https://data.microbiomedata.org/data/nmdc:omprc-11-zgvjcw18/nmdc:wfmgan-11-nkf1eq87.1/nmdc_wfmgan-11-nkf1eq87.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0qa78w81,https://data.microbiomedata.org/data/nmdc:omprc-11-yt96hb84/nmdc:wfmgan-11-hv3nyk36.1/nmdc_wfmgan-11-hv3nyk36.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0qypsy03,https://data.microbiomedata.org/data/nmdc:omprc-11-x1pjk970/nmdc:wfmgan-11-wmfd0259.1/nmdc_wfmgan-11-wmfd0259.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0rn5v405,https://data.microbiomedata.org/data/nmdc:omprc-11-xh4kh516/nmdc:wfmgan-11-qdnf2d27.1/nmdc_wfmgan-11-qdnf2d27.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0rqnr440,https://data.microbiomedata.org/data/nmdc:omprc-11-rb0cx748/nmdc:wfmgan-11-t2jaqe36.1/nmdc_wfmgan-11-t2jaqe36.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0s4z3q14,https://data.microbiomedata.org/data/nmdc:omprc-11-60k8kc41/nmdc:wfmgan-11-y8rvwp25.1/nmdc_wfmgan-11-y8rvwp25.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0s62j636,https://data.microbiomedata.org/data/nmdc:omprc-11-gmc8vw02/nmdc:wfmgan-11-5emww522.1/nmdc_wfmgan-11-5emww522.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0s7xvb75,https://data.microbiomedata.org/data/nmdc:omprc-11-qtg9bb25/nmdc:wfmgan-11-fn0vhz16.1/nmdc_wfmgan-11-fn0vhz16.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0tbjtz54,https://data.microbiomedata.org/data/nmdc:omprc-11-c82tqn53/nmdc:wfmgan-11-31q58f08.1/nmdc_wfmgan-11-31q58f08.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0thxv339,https://data.microbiomedata.org/data/nmdc:omprc-11-dycnft20/nmdc:wfmgan-11-44swgm21.1/nmdc_wfmgan-11-44swgm21.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0v0ecc36,https://data.microbiomedata.org/data/nmdc:omprc-11-jknw0051/nmdc:wfmgan-11-4ykbxr44.1/nmdc_wfmgan-11-4ykbxr44.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0v1etz47,"https://data.microbiomedata.org/data/nmdc:omprc-11-kqrvtx54/nmdc:wfmgan-11-npa48c80.1/nmdc_wfmgan-11-npa48c80.1_scaffold_lineage.tsv, https://data.microbiomedata.org/data/nmdc:omprc-11-8sxv2v10/nmdc:wfmgan-11-85y3n726.1/nmdc_wfmgan-11-85y3n726.1_scaffold_lineage.tsv"
M horizon,nmdc:bsm-11-0v2kpm96,https://data.microbiomedata.org/data/nmdc:omprc-11-hhfd9935/nmdc:wfmgan-11-men7b656.1/nmdc_wfmgan-11-men7b656.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0wb39875,https://data.microbiomedata.org/data/nmdc:omprc-11-80c4jw80/nmdc:wfmgan-11-b1nhgt16.1/nmdc_wfmgan-11-b1nhgt16.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0whn0117,https://data.microbiomedata.org/data/nmdc:omprc-11-bfzvq515/nmdc:wfmgan-11-ht0p8b23.1/nmdc_wfmgan-11-ht0p8b23.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0wvxcg04,https://data.microbiomedata.org/data/nmdc:omprc-11-w2p4nc76/nmdc:wfmgan-11-hppc1019.1/nmdc_wfmgan-11-hppc1019.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0x2ymd43,https://data.microbiomedata.org/data/nmdc:omprc-11-0qh2xq44/nmdc:wfmgan-11-yczr9379.1/nmdc_wfmgan-11-yczr9379.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0x5m4z09,https://data.microbiomedata.org/data/nmdc:omprc-11-nb17kn66/nmdc:wfmgan-11-cn5m4g76.1/nmdc_wfmgan-11-cn5m4g76.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0x7bvh88,https://data.microbiomedata.org/data/nmdc:omprc-11-veygr030/nmdc:wfmgan-11-smtsz862.1/nmdc_wfmgan-11-smtsz862.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0xg3w467,https://data.microbiomedata.org/data/nmdc:omprc-11-b7jra430/nmdc:wfmgan-11-qymvpv29.1/nmdc_wfmgan-11-qymvpv29.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0xm44r37,https://data.microbiomedata.org/data/nmdc:omprc-11-y2xr0w67/nmdc:wfmgan-11-0kd75x18.1/nmdc_wfmgan-11-0kd75x18.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0xn27x15,https://data.microbiomedata.org/data/nmdc:omprc-11-15r5j518/nmdc:wfmgan-11-ynfp6547.1/nmdc_wfmgan-11-ynfp6547.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0xvgya91,https://data.microbiomedata.org/data/nmdc:omprc-11-2wjed166/nmdc:wfmgan-11-80qjzd16.1/nmdc_wfmgan-11-80qjzd16.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0yw1rj05,https://data.microbiomedata.org/data/nmdc:omprc-11-r5w9js52/nmdc:wfmgan-11-k5a19412.1/nmdc_wfmgan-11-k5a19412.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0ywr3c59,https://data.microbiomedata.org/data/nmdc:omprc-11-vdmtnk59/nmdc:wfmgan-11-s9vdff87.1/nmdc_wfmgan-11-s9vdff87.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0zd71e37,https://data.microbiomedata.org/data/nmdc:omprc-11-gvajp749/nmdc:wfmgan-11-e2z5mw73.1/nmdc_wfmgan-11-e2z5mw73.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0zgy0491,https://data.microbiomedata.org/data/nmdc:omprc-11-1zehaw93/nmdc:wfmgan-11-4h48ff64.1/nmdc_wfmgan-11-4h48ff64.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0zp00g98,https://data.microbiomedata.org/data/nmdc:omprc-11-g4zw0752/nmdc:wfmgan-11-prdvmp57.1/nmdc_wfmgan-11-prdvmp57.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0zxynz54,https://data.microbiomedata.org/data/nmdc:omprc-11-kvthrw62/nmdc:wfmgan-11-m2ycfa37.1/nmdc_wfmgan-11-m2ycfa37.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-104brf69,https://data.microbiomedata.org/data/nmdc:omprc-11-cpqbew37/nmdc:wfmgan-11-dxqxre60.1/nmdc_wfmgan-11-dxqxre60.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-10c7qy36,https://data.microbiomedata.org/data/nmdc:omprc-11-dsv3f325/nmdc:wfmgan-11-bajw6h61.1/nmdc_wfmgan-11-bajw6h61.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-10cg0s25,https://data.microbiomedata.org/data/nmdc:omprc-11-daxdrw75/nmdc:wfmgan-11-033a9244.1/nmdc_wfmgan-11-033a9244.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-10fc8a15,https://data.microbiomedata.org/data/nmdc:omprc-11-m9k5dd52/nmdc:wfmgan-11-d0za9s67.1/nmdc_wfmgan-11-d0za9s67.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-113gg097,https://data.microbiomedata.org/data/nmdc:omprc-11-pbjwby75/nmdc:wfmgan-11-3s0p4v02.1/nmdc_wfmgan-11-3s0p4v02.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-115r6257,https://data.microbiomedata.org/data/nmdc:omprc-11-jcyvah08/nmdc:wfmgan-11-qk9xm455.1/nmdc_wfmgan-11-qk9xm455.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-116fe613,https://data.microbiomedata.org/data/nmdc:omprc-11-09rnn664/nmdc:wfmgan-11-hj734354.1/nmdc_wfmgan-11-hj734354.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-11hvm142,https://data.microbiomedata.org/data/nmdc:omprc-11-qnnzbj98/nmdc:wfmgan-11-cd5qzb67.1/nmdc_wfmgan-11-cd5qzb67.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-11jk9a93,https://data.microbiomedata.org/data/nmdc:omprc-11-fab8e775/nmdc:wfmgan-11-pkk79r08.1/nmdc_wfmgan-11-pkk79r08.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-11paxx81,https://data.microbiomedata.org/data/nmdc:omprc-11-v120sa54/nmdc:wfmgan-11-ngfht152.1/nmdc_wfmgan-11-ngfht152.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-12khgx15,https://data.microbiomedata.org/data/nmdc:omprc-11-3s040k28/nmdc:wfmgan-11-0shh0w56.1/nmdc_wfmgan-11-0shh0w56.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-133a9t75,https://data.microbiomedata.org/data/nmdc:omprc-11-5xgghs51/nmdc:wfmgan-11-x15zc073.1/nmdc_wfmgan-11-x15zc073.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-13kvnw34,https://data.microbiomedata.org/data/nmdc:omprc-11-qxq15411/nmdc:wfmgan-11-9v130b74.1/nmdc_wfmgan-11-9v130b74.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-13n02604,https://data.microbiomedata.org/data/nmdc:omprc-11-zs3z6x34/nmdc:wfmgan-11-4yxxw746.1/nmdc_wfmgan-11-4yxxw746.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-13rvbb54,https://data.microbiomedata.org/data/nmdc:omprc-11-bd1eyb41/nmdc:wfmgan-11-rakcvw57.1/nmdc_wfmgan-11-rakcvw57.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-13s3f541,https://data.microbiomedata.org/data/nmdc:omprc-11-prd07992/nmdc:wfmgan-11-ygy92a27.1/nmdc_wfmgan-11-ygy92a27.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-13tve392,https://data.microbiomedata.org/data/nmdc:omprc-11-7af3as25/nmdc:wfmgan-11-k8jbbm82.1/nmdc_wfmgan-11-k8jbbm82.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-14dtyj87,https://data.microbiomedata.org/data/nmdc:omprc-11-b00gvb88/nmdc:wfmgan-11-esyej945.1/nmdc_wfmgan-11-esyej945.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-14qr3105,https://data.microbiomedata.org/data/nmdc:omprc-11-htac6662/nmdc:wfmgan-11-vkf49q20.1/nmdc_wfmgan-11-vkf49q20.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-14xprx08,https://data.microbiomedata.org/data/nmdc:omprc-11-21qpd693/nmdc:wfmgan-11-fz97vg28.1/nmdc_wfmgan-11-fz97vg28.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-14y6dz18,https://data.microbiomedata.org/data/nmdc:omprc-11-22gvrx90/nmdc:wfmgan-11-3ppzvz88.1/nmdc_wfmgan-11-3ppzvz88.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-158pa966,https://data.microbiomedata.org/data/nmdc:omprc-11-897qak81/nmdc:wfmgan-11-0w0rnd53.1/nmdc_wfmgan-11-0w0rnd53.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-162tdx86,https://data.microbiomedata.org/data/nmdc:omprc-11-m39s7390/nmdc:wfmgan-11-y4y3j582.1/nmdc_wfmgan-11-y4y3j582.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-163kk106,https://data.microbiomedata.org/data/nmdc:omprc-11-2rmrpn30/nmdc:wfmgan-11-r5d51239.1/nmdc_wfmgan-11-r5d51239.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-16t3g930,https://data.microbiomedata.org/data/nmdc:omprc-11-9245ws57/nmdc:wfmgan-11-d38hxp91.1/nmdc_wfmgan-11-d38hxp91.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-1713p538,https://data.microbiomedata.org/data/nmdc:omprc-11-7tbczg51/nmdc:wfmgan-11-aghgwe25.1/nmdc_wfmgan-11-aghgwe25.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-171et506,https://data.microbiomedata.org/data/nmdc:omprc-11-vy4fgz48/nmdc:wfmgan-11-mr75gq77.1/nmdc_wfmgan-11-mr75gq77.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-17djvx32,https://data.microbiomedata.org/data/nmdc:omprc-11-5s7vzk21/nmdc:wfmgan-11-p42n8w86.1/nmdc_wfmgan-11-p42n8w86.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-17hg1e09,https://data.microbiomedata.org/data/nmdc:omprc-11-x8gwh062/nmdc:wfmgan-11-smpd0e92.1/nmdc_wfmgan-11-smpd0e92.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-17rsbh94,https://data.microbiomedata.org/data/nmdc:omprc-11-2cmvwg72/nmdc:wfmgan-11-365wd896.1/nmdc_wfmgan-11-365wd896.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-182t3n64,https://data.microbiomedata.org/data/nmdc:omprc-11-vvxt3623/nmdc:wfmgan-11-6ghvpf53.1/nmdc_wfmgan-11-6ghvpf53.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-18ejwv75,https://data.microbiomedata.org/data/nmdc:omprc-11-0m0x8n29/nmdc:wfmgan-11-k0xae948.1/nmdc_wfmgan-11-k0xae948.1_scaffold_lineage.tsv
