Gold_biosample	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0195858		2999275		3217892		1542858514		1731525461		806127		929228		790829232		942649080		218717		265053		396467144		495295598		72244		71016		396467144.0		495295598.0
Gb0195891		4294653		4402023		2146983374		2293887535		1092058		1190508		1050231413		1191108120		286019		331133		511090595		614293764		80300		80179		511090595.0		614293764.0
Gb0195849		2259394		2481604		1177441924		1362814042		639618		754504		618038879		764004880		175275		222461		304842574		404116102		62436		80221		304842574.0		404116102.0
Gb0195843		1497980		1794870		798103542		1005597845		436678		563195		433065637		578820821		125216		168855		222529741		311646502		74664		89762		222529741.0		311646502.0
Gb0195875		2241995		2550227		1151588446		1373648976		598777		741413		587776185		749180368		163328		212234		295468903		392745713		77498		74967		295468903.0		392745713.0
Gb0195880		2528342		2820476		1346889824		1572461928		712914		851452		721799693		891165909		206504		257987		380676945		490320758		80014		80014		380676945.0		490320758.0
Gb0195901		2217396		2494658		1148718420		1355728724		612711		745205		595986738		749967375		166755		214469		295881998		391678168		80089		80275		295881998.0		391678168.0
Gb0195856		3136072		3317525		1525161117		1682511557		756920		864578		714901714		842745979		190803		230262		337049354		417891720		79861		80188		337049354.0		417891720.0
Gb0195913		2341077		2591138		1200611776		1394482249		629702		753680		614967261		761477801		172491		217486		307730494		399940512		80036		80036		307730494.0		399940512.0
Gb0195872		2972632		3241870		1559370587		1774756724		814357		955030		817045003		984286368		227424		277796		423007309		528188466		58141		58183		423007309.0		528188466.0
Gb0195846		4210003		4371951		2077684224		2243239189		1041482		1161386		998574924		1144645605		268078		313429		482065589		576555811		80295		80295		482065589.0		576555811.0
Gb0195867		2464364		2752335		1304301835		1521832895		694015		829965		695316280		857390698		199538		247697		362151550		464088590		80227		80272		362151550.0		464088590.0
Gb0150426	4373683	7291554		6914711	2722746487	4795510246		4757873680	1941067	2792594		2784508	1795291984	3195519035		3287981687	462163	907894		944440	811732112	1916741252		2035876881	84075	736891		513246	811732112.0	1916741252.0		2035876881.0
Gb0192456		2912892		3369505		1619827434		1931873160		936003		1144423		928477101		1147623937		257634		322546		471979669		593268120		109406		112413		471979669.0		593268120.0
Gb0195853		3042954		3316076		1609053790		1832687041		865044		1009114		858814446		1034166071		245485		298774		441716508		554822922		80059		77815		441716508.0		554822922.0
Gb0195920		2290685		2579106		1194618186		1411690283		642685		781475		625673714		788313118		177297		227906		312525654		414617583		56791		62168		312525654.0		414617583.0
Gb0195903		2325777		2628860		1186158670		1404438967		631530		773225		605778254		764718256		168561		217395		294332856		389725295		80066		80070		294332856.0		389725295.0
Gb0195873		2249876		2553629		1170350512		1393601185		625409		767099		611445274		775240141		172506		222138		306608267		407525197		78203		77949		306608267.0		407525197.0
Gb0192455		4733221		5003090		2744666732		2995960213		1592138		1764104		1644135554		1856131460		468800		537485		886158812		1026733688		152967		125197		886158812.0		1026733688.0
Gb0195837		3805616		3948650		1834341367		1971850611		905409		1011505		850358191		970368328		223573		260846		395725004		468194265		72297		71044		395725004.0		468194265.0
Gb0195898		3236899		3396289		1714286989		1879835322		880722		983145		906872381		1049774357		254801		297799		485697743		587317286		121581		118608		485697743.0		587317286.0
Gb0195908		1863096		2148922		1018205626		1232605258		550132		677412		564343723		721368949		161462		207353		301950756		402987465		80033		77442		301950756.0		402987465.0
Gb0195904		3030659		3257900		1572496560		1771538479		828553		956650		814992168		976414106		227441		278691		410923400		519149095		72372		72372		410923400.0		519149095.0
Gb0195852		966762		1327762		479220068		692739460		259846		390707		235935017		367934608		62435		101143		103501330		172855259		77411		75633		103501330.0		172855259.0
