Gold_biosample	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN
Gb0191688	1117644	893121	1117644	503801180	375303690	503801180	234650	147106	234650	207205409	130478777	207205409	48068	28896	48068	84171630	52779201	84171630	238	185	238	84171630	52779201	84171630	75111	74073	75111	84171630.0	52779201.0	84171630.0
Gb0191668	1572868	1298957	1572868	842195528	650131776	842195528	465416	332268	465416	462411843	322942629	462411843	125406	84225	125406	234010316	157023111	234010316	851	627	851	234010316	157023111	234010316	59404	134927	59404	234010316.0	157023111.0	234010316.0
Gb0191676	1573268	1321883	1573268	700361553	548817932	700361553	337861	228013	337861	282198288	185322042	282198288	62284	38981	62284	100974002	61820680	100974002	97	35	97	100974002	61820680	100974002	46114	46114	46114	100974002.0	61820680.0	100974002.0
Gb0191672	2232992	1892770	2232992	1327061813	1063307704	1327061813	762808	580253	762808	816416547	612481000	816416547	235311	171761	235311	459354127	336844720	459354127	1483	1250	1483	459354127	336844720	459354127	61747	80993	61747	459354127.0	336844720.0	459354127.0
Gb0191686	1755909	1444065	1755909	912464417	708964089	912464417	484151	338888	484151	479324717	338100723	479324717	128218	86323	128218	240810305	169524256	240810305	805	736	805	240810305	169524256	240810305	896640	552716	896640	240810305.0	169524256.0	240810305.0
Gb0191675	2766075	2393722	2766075	1548187255	1269631131	1548187255	865542	664467	865542	891859563	679075251	891859563	249416	184423	249416	477129084	357085726	477129084	1394	1273	1394	477129084	357085726	477129084	53512	94505	53512	477129084.0	357085726.0	477129084.0
Gb0191662	1501728	1210442	1501728	740579760	559882615	740579760	388701	261779	388701	360212461	241500555	360212461	91344	58804	91344	162324680	107054525	162324680	388	343	388	162324680	107054525	162324680	57197	137057	57197	162324680.0	107054525.0	162324680.0
Gb0191654	1823068	1538026	1823068	1012441209	809514034	1012441209	569802	425284	569802	582517952	431743907	582517952	168166	119059	168166	311368877	225559710	311368877	712	907	712	311368877	225559710	311368877	58427	93521	58427	311368877.0	225559710.0	311368877.0
Gb0191648	2433218	1979270	2433218	1206011502	920970621	1206011502	648129	447084	648129	589724058	400433295	589724058	147454	94332	147454	255981665	166745126	255981665	747	536	747	255981665	166745126	255981665	94496	94488	94496	255981665.0	166745126.0	255981665.0
Gb0191649	2649893	2289021	2649893	1506541703	1223192610	1506541703	882761	677981	882761	891517194	668534873	891517194	253228	182767	253228	466596661	335599865	466596661	1108	908	1108	466596661	335599865	466596661	53165	89827	53165	466596661.0	335599865.0	466596661.0
Gb0191679	4544714	4340452	4544714	2517389177	2285955167	2517389177	1404003	1209432	1404003	1435533833	1212992850	1435533833	407151	327905	407151	763445954	621304563	763445954	2055	2301	2055	763445954	621304563	763445954	72556	90496	72556	763445954.0	621304563.0	763445954.0
Gb0191655	2262061	2059534	2262061	1169759217	1002542785	1169759217	646642	507947	646642	611911503	471558145	611911503	156439	112790	156439	284966450	209491857	284966450	767	859	767	284966450	209491857	284966450	1124795	856047	1124795	284966450.0	209491857.0	284966450.0
Gb0191663	3204161	2905894	3204161	1829522020	1582820995	1829522020	1040728	842708	1040728	1081451291	874079086	1081451291	305016	233687	305016	584824281	464831108	584824281	2103	2160	2103	584824281	464831108	584824281	61865	85922	61865	584824281.0	464831108.0	584824281.0
Gb0191647	2385083	1973443	2385083	1160876800	901119146	1160876800	603617	422426	603617	552436670	379076146	552436670	140284	91911	140284	243345232	159742702	243345232	527	311	527	243345232	159742702	243345232	295461	175677	295461	243345232.0	159742702.0	243345232.0
Gb0191674	1591581	1312796	1591581	827148011	636267370	827148011	456753	321909	456753	437610538	301509453	437610538	116526	77041	116526	209838301	138193864	209838301	513	391	513	209838301	138193864	209838301	54646	54288	54646	209838301.0	138193864.0	209838301.0
Gb0191664	2113669	1768769	2113669	1061474695	830366444	1061474695	584395	413761	584395	534113253	370094060	534113253	136625	89668	136625	235629048	155163067	235629048	420	444	420	235629048	155163067	235629048	85134	133737	85134	235629048.0	155163067.0	235629048.0
Gb0191645	2270085	1893495	2270085	1333591618	1066039598	1333591618	749574	556787	749574	807330672	608367078	807330672	228963	162352	228963	455527165	342692318	455527165	1933	2015	1933	455527165	342692318	455527165	119778	290216	119778	455527165.0	342692318.0	455527165.0
Gb0191678	1572401	1306964	1572401	771538628	596329938	771538628	405871	280106	405871	375553473	253788549	375553473	97138	63035	97138	169207628	109642932	169207628	336	227	336	169207628	109642932	169207628	52507	37461	52507	169207628.0	109642932.0	169207628.0
Gb0191690	1700756	1363465	1700756	965265444	726697207	965265444	553667	388244	553667	568963598	394503846	568963598	162926	107942	162926	304796573	205694966	304796573	837	758	837	304796573	205694966	304796573	68393	100304	68393	304796573.0	205694966.0	304796573.0
Gb0191683	2054134	1739142	2054134	1065184160	845380864	1065184160	567863	414618	567863	557647596	398642412	557647596	150187	102478	150187	277597584	190371976	277597584	899	742	899	277597584	190371976	277597584	62789	108405	62789	277597584.0	190371976.0	277597584.0
Gb0191680	1438077	1165951	1438077	768147167	574944474	768147167	429802	300914	429802	422330641	282911980	422330641	118852	77135	118852	213007150	132713487	213007150	411	222	411	213007150	132713487	213007150	60076	60008	60076	213007150.0	132713487.0	213007150.0
Gb0191677	3253124	3091682	3253124	1670162892	1496968062	1670162892	904542	759191	904542	865979016	704040776	865979016	228667	176048	228667	413389449	315395288	413389449	1269	1074	1269	413389449	315395288	413389449	75169	73046	75169	413389449.0	315395288.0	413389449.0
Gb0191652	1366860	1066084	1366860	700458532	506797559	700458532	394045	254739	394045	364311695	230763685	364311695	93073	54746	93073	163490969	98093363	163490969	272	334	272	163490969	98093363	163490969	732125	267799	732125	163490969.0	98093363.0	163490969.0
Gb0191653	2174553	1869875	2174553	1100959365	891063994	1100959365	578054	425985	578054	557939219	404898097	557939219	149185	103768	149185	271139437	190462427	271139437	627	645	627	271139437	190462427	271139437	85257	111148	85257	271139437.0	190462427.0	271139437.0
Gb0191671	2937418	2742023	2937418	1453419904	1273500783	1453419904	771585	626004	771585	718083560	561368941	718083560	189324	140339	189324	327562780	237696985	327562780	648	434	648	327562780	237696985	327562780	38951	36899	38951	327562780.0	237696985.0	327562780.0
Gb0191681	2120967	1903242	2120967	939295822	796290654	939295822	432773	319108	432773	372061839	271014549	372061839	81406	56104	81406	141310772	99436078	141310772	352	369	352	141310772	99436078	141310772	240600	188042	240600	141310772.0	99436078.0	141310772.0
