Gold_biosampple	"MEGAHIT v. 1.0.6";"IMG Annotation Pipeline v.4.15.1"	"spades v. 3.12.0";"IMG Annotation Pipeline v.4.16.5"	"spades v. 3.13.0";"IMG Annotation Pipeline v.4.16.5"	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	"MEGAHIT v. 1.0.6";"IMG Annotation Pipeline v.4.15.1"	"spades v. 3.12.0";"IMG Annotation Pipeline v.4.16.5"	"spades v. 3.13.0";"IMG Annotation Pipeline v.4.16.5"	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	"MEGAHIT v. 1.0.6";"IMG Annotation Pipeline v.4.15.1"	"spades v. 3.12.0";"IMG Annotation Pipeline v.4.16.5"	"spades v. 3.13.0";"IMG Annotation Pipeline v.4.16.5"	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0
Gb0195849		6341		6507		1064922		1212395		2829940		3304690
Gb0195843		5943		6269		768043		945888		1896076		2395150
Gb0195875		6180		6400		1036217		1219753		2786102		3366883
Gb0195880		6308		6508		1222886		1405286		3196717		3766800
Gb0195901		6488		6720		1080231		1251450		2776390		3303427
Gb0195856		6715		6835		1461113		1589169		3832589		4268082
Gb0195913		6541		6727		1136704		1297155		2911041		3397611
Gb0195872		6455		6593		1395239		1570608		3726891		4298816
Gb0195846		7018		7048		1968516		2101100		5148404		5609476
Gb0195867		6446		6615		1218070		1396305		3107488		3659348
Gb0150426	7122	7693		7731	1956472	3499348		3453867	5941457	10043075		10160989
Gb0192456		6657		6926		1328341		1577408		3725934		4577796
Gb0195853		6556		6708		1423418		1600408		3823003		4417206
Gb0195920		6329		6551		1096020		1276670		2869351		3427718
Gb0195903		6344		6538		1112190		1293406		2889563		3453925
Gb0195873		6297		6498		1083407		1266226		2813050		3379941
Gb0192455		7223		7456		2145367		2335726		6175605		6935723
Gb0195837		6855		6920		1824688		1940654		4609145		4983281
Gb0195898		6668		6769		1592178		1715524		4096429		4517940
Gb0195908		6320		6574		963795		1140097		2387514		2899199
Gb0195904		6604		6734		1425219		1582723		3791956		4316126
Gb0195852		5511		5946		460073		652026		1183544		1728892
Gb0195917		6868		7090		1452650		1618118		3779018		4297011
Gb0192454		7369		7635		2172361		2365374		6335208		7112768
Gb0195868		6955		7126		1508625		1654363		3862633		4335357
Gb0150424	7058	7102		7241	2079965	2192128		2392569	6295077	6144028		6941186
Gb0195915		6450		6521		1141452		1192064		3024902		3204619
Gb0195870		6153		6353		905167		1083262		2272180		2788547
Gb0195859		6510		6660		1353656		1524460		3504831		4054158
Gb0195899		6672		6766		1512725		1656604		3887024		4353120
Gb0192460		6926		7142		1742376		1966780		4918986		5728490
Gb0192457		7274		7427		2092447		2293927		6013526		6805154
Gb0150428	7237		7547	7563	2195684		3198141	3227509	6642113		9130682	9431952
Gb0195869		6622		6720		1324352		1492079		3380924		3904835
Gb0195890		7174		7168		2313972		2392676		6383334		6757999
Gb0195897		6650		6716		1460070		1587914		3760229		4184854
Gb0192459		7388		7485		2452295		2618907		7020291		7711416
Gb0195887		6228		6449		1004071		1191820		2654857		3233724
Gb0195894		6301		6522		1135630		1314092		2954590		3511726
Gb0195921		6309		6526		1090068		1280830		2912765		3510681
Gb0150422	7228	7262		7422	2056317	2250514		2452821	6330884	6403262		7217539
Gb0195918		6927		7059		1712161		1864096		4493771		4996293
Gb0195909		6458		6584		1171431		1337875		2956716		3466113
Gb0195907		7251		7500		1478891		1622308		3746164		4204339
Gb0195840		6780		6843		1601708		1733309		4124928		4540906
Gb0150431	7326	7919		7833	2354289	3821990		3658281	7208596	11045371		10807707
Gb0195845		6900		7039		1628651		1758682		4470909		4940194
Gb0195848		6482		6656		1204851		1352467		3227883		3716132
Gb0195844		6757		6862		1408802		1553997		3802452		4294813
Gb0195836		6845		6902		1567480		1704896		4122404		4569729
Gb0195874		6082		6330		894656		1071423		2373848		2921530
Gb0195851		6128		6421		960623		1138809		2513410		3060807
Gb0195860		6609		6745		1495015		1663391		3888163		4441492
Gb0195839			6238	6528			977528	1155879			2439344	2953423
Gb0195862		6413		6601		1271506		1456840		3303229		3884218
Gb0195919		6510		6749		1270018		1452871		3291342		3866417
